Gig Name,Character Length
"DOLE NIGHT w/ W.O.M.B.A.T and The Antics.",41
"Kick On Residency w/ Skiptons + Pink Lady + Smoking Caterpillar",63
"THE OLD BAR KARAOKE. HOSTED BY DRAG KING SILVIO DI BACI w. DJ CYBER BULLY",73
"The Mark Fitzgibbon Trio   ",27
"Grace Petrie (UK)",17
"Tinkle",6
"The Sweet Souls (Front Bar)",27
"Lotte Gallagher",15
"The Whitlams (Love This City 25 Years)",38
"Anne's Lace (Single Launch)",27
"Noah and The Coldmen TAKE single launch",39
"Beka - Back Catalogue BOWIE, Intimate & Acoustic",48
"Kebabwaffles",12
"Nafe Smallz",11
"Jamie Hay w/ Hanny J + Josh Newman",34
"Ahhh! Real Monsters of Melbourne - Night #2",43
"THURSDAYS WITH THE RAILWAY GANG",31
"Scott Tinkler Standards Quartet!",32
"Alma Zygier",11
"The Scott Tinkler Standards Quartet! w/ Sam Keevers, Sam Anning and Dave Beck",77
"NoTurns w/ Erica Avenue + Lonely River +Dante C.Z",49
"ANGLERR + MIDNIGHT VIOLET",25
"Blow",4
"Mankind ""Home Away From Home"" Tour w/Human Intrusion & Ze Wisenhemier",69
"Standing Circle (live)",22
"Rave Culture x Astra",20
"Fishermans Friends + Cantrips",29
"Acoustic Act",12
"Asanti Beats",12
"Pub Drag W/ Missy La Minx & Special Guests",42
"Night of X Music and Other Things",33
"Hot Girl Dance Party",20
"GUSH 'The Stars Seem Closer Than You Are' RELEASE TOUR (VIC) W/ SPOUSE + ES MUSS SEIN",85
"Large Mirage With Ramona Sky and The Halves",43
"The Fox Soundtrack",18
"b420 Presents: Dampiera",23
"Honeymoon Phase",15
"3-2-1",5
"Esse & Nylstoch + Stina Tester",30
"Quiet Blue presents ‘A Million Miles’ Album Launch @ The Gaso (upstairs)",72
"GEM FEST",8
"GHOSTSMOKER at The Old Bar",26
"The Whitlams (Love This City 25 Years)",38
"Lets Get Shitwrecked!!",22
"The Stephen Magnusson Trio",26
"heartbreaker",12
"Spire & Midnight Odyssey, with special guests Petrol",52
"'The Spring Tour' ft. Drastic Park",34
"Blood of a Pomegranate, Caustic Grip, Sulphur Garden + Worthless Scum",69
"Birds Are Spies ‘Spin’ Single Launch",36
"Love Sensation",14
"Laura Norda KITTY Single Launch with Racoo and Al Matcott (solo)",64
"Smoking Vinyl (Front Bar)",25
"The Rookies",11
"SL*T POP RAVE ",14
"Salarymen – Day By Day EP Tour",30
"Mikey Goodfellow",16
"Karate Boogaloo & The Pro-Teens live at The Night Cat",53
"DJ",2
"CLASSIX - Fridays",17
"Groove Alliance",15
"Luma Kova (Stingrays Upstairs + Proponent Records)",50
"Disco Jungle Day Party",22
"FREE ENTRY ARVO SHOW w/ RJ ANDREW + SEAN SIMMONS + TAMMY HAIDER",63
"GEM FEST",8
"Acoustic Music",14
"DJ Relaxative + Meadow Soprano",30
"The Coward Man Experience (Melbourne Fringe Festival)",53
"The Fox Soundtrack",18
"Fax Machine",11
"SOLAR WAX E.P. LAUNCH W/ Soulutations & Jazzy Faith",51
"Shadow Tussle EP Launch With special guests INX XIRA and LIAM WATTS",67
"19368 Days Birthday",19
"MAGPIE CHARITY FUNDRAISER",25
"Peak Park - Daylight Single Launch",34
"MACKENZY MACKAY",15
"The Whitlams (Love This City 25 Years)",38
"The Dale Barlow Quartet!",24
"Gun Laws with Low Monroe and The Fugitives",42
"SHOVE - Album launch",20
"Coolabah Kings: ""Green Leopards"" Single Launch",46
"The Dale Barlow Quartet special guest Mat Jodrell",49
"ENDLESS CREATIVE PRESENTS F2F",29
"Tillerman Pete (EP Launch)",26
"Owelu Dreamhouse - Africa Baba single launch",44
"Girls Night Out! Vena Cava @ Bad Decisions Bar",46
"The Dale Barlow Quartet!",24
"Mankind (TAS) w/ Remit + Town Ace",33
"BOB LOG IS BACK FROM THE U.S !!!",32
"Eat The Beat",12
"Prayerbabies: where dreams are made of",38
"Saturday Night DJ",17
"B2B Sophie Olivia Goodestboialive",33
"Honky Tonk",10
"Saturday Night DJ",17
"Glamorama Saturdays - Gratts b2b Donald's House",47
"Resident DJ - Saturday",22
"Resident DJ",11
"DJ",2
"LAUNDRY ~ Saturdays",19
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"Ones,Mike Gurrieri,Kgomotso",27
"DJ (Rooftop)",12
"Cosmic Psychos",14
"Habibi Hafla",12
" The Melbourne Blues Collective ",32
"'9 TO 5 - TEAM BUILDING NIGHT' - WORKSHOP & MOVIE NIGHT",55
"Stingo Blues",12
"NEARER+EVERYBODY HATES ME LAUNCH",32
"Sunshine Tip",12
"Danimal",7
"Fans of the People",18
"The Whitlams (Love This City 25 Years)",38
"Vinted Vineer - Tobi Yume Album Tour",36
"Black Jesus Experience",22
"Domingo Latino - El Bembe Orchestra",35
"Rimmy Grasa - Live at Bad Decisions",35
"Gypsy Company",13
"The Thing From Spring (live)",28
"NIEUW MONDAYS",13
"FREE ENTRY MORBID MONDAYS: OCEAN LORD + SPACEJUNK",49
"Barracouta",10
"Make It Up Club",15
"BOADZ",5
"Afro Space Jazz Industry",24
"The Outernet",12
"FREE ENTRY OLD BAR KARAOKE",26
"The Mark Fitzgibbon Trio   ",27
"Kick On Residency w/ MILKSICK + Crushed Lavender + Chloe Booth",62
"Ari Davis",9
"Afro Space Jazz Industry",24
"The Outernet",12
"FREE ENTRY OLD BAR KARAOKE",26
"Kick On Residency w/ MILKSICK + Crushed Lavender + Chloe Booth",62
"The Mark Fitzgibbon Trio   ",27
"Ari Davis",9
"An Evening of poetry & music with TREV CIMENSKI",47
"Tinkle",6
"Surfriders Present School Disco",31
"For Swings Sake (Front Bar)",27
"Rakhi's",7
"Nobody No Spirit Halloween X EP Launch",38
"Grevillea Hedge - ‘Radicalism’ single launch with Detsi and Kelsey Jean and The Bad Health",90
"JULIUS + Special Guests",23
"NSG Australia Tour 2024",23
"Phil Franklin of The Mint, Electric Self, Esse & The Brave New Sounds",69
"The Seven Ups - EP Launch",25
"GENTLES + GUN LAWS + ANOTHER ROTTING CORPSE",43
"Laneous and Friends",19
"THURSDAYS WITH THE RAILWAY GANG",31
"RICKY ALBECK",12
"Matt Steele Quartet",19
"Breaking Sound Melbourne",24
"Blow",4
"Robots In Love with Ze Wisenheimer and Low Monroe & The Fugitives",65
"Renée Spijker with Connor Black-Harry",37
"Jack Milligan",13
"Acoustic Act",12
"Long Distance ft: Suki, Activator, Miki, Vertigo (WA)",53
"The Four Scoops (Front Bar)",27
"Large Mirage With Starcrazy + Dj Centipede & The Earthworms",59
"The Fox Soundtrack",18
"Polish Club – The Heavy Weight Heart Album Tour",47
"Asanti Beats",12
"Holly Hebe ‘Ruby’ EP Tour",25
"smartcasual | 'Child Of Yesterday' TOUR",39
"SUGARGUM + CHARLOTTE BRIDIE + THE FOAMS",39
"3-2-1",5
"Casual Healing hits Naarm",25
"Lance Fergusson's THE SHACKMEN",30
"Seas of Titan",13
"Coldwave East Coast Tour",24
"The Cavemen + Loose Lips",24
"Seas of Titan, Distorted Trauma, Skiwhiz",40
"'9 To 5 - TGIF CLOSING PARTY'",29
"ChAMBER LANe ""Stop Over Thinking It"" Ep Release with Mailey & Pet Therapy",73
"Middle Management LET'S GO Single Launch with Pepper La Floyd and Yes More Witch",80
"HYPERDOG (EU) w/Stray Dogs 2 Good Homes & Licetrays",51
"Smoking Vinyl (Front Bar)",25
"Broadway Bangers Live",21
"Cass Aware w/ Berkeley + B-Sides",32
"Dr. Colossus Destroy the Tote!",30
"Dennis",6
"The Rookies",11
"Gooply's Scoop",14
"ECHO SOCIAL CLUB",16
"DJ",2
"TRASH Indie Sleaze and Party bangers, FRI OCT 11",48
"Sisyphus",8
"Woody Samson",12
"CLASSIX - Fridays",17
"Damien Mack",11
"Interval - Scruz (UK) + DJ Optimism",35
"GUTS Party – Melbourne",22
"The Tote Record Fair!",21
"PLANTA + RAIZ",13
"Convict Class - ""Generation of Discontent"" Album Launch",55
"FREE ENTRY ARVO SHOW w/ SWEATSHOP + TEENS",41
"Raised As Wolves + Amends",25
"Acoustic Music",14
" RUBSPRINGA: A CELEBRATION OF SPRING AND FEMMES GONE WILD ",58
"Acoustic solo",13
"Thread",6
"Shotgun Mistress - Kings Of The Revolution Tour",47
"The Fox Soundtrack",18
"Among The Restless",18
"Baba Noir",9
"Among The Restless with special guests Vermont and Fiasco.",58
"Spici Water National Tour // Melbourne",38
"Kylie Auldist",13
"Rhapsody of Fire",16
"alt. Conversations That Hurt Release Shows | Melbourne",54
"Empress ""Solace"" Single Launch ft. Lani Zimmer",46
"The Mat Jodrell Quartet",23
"Don West",8
"Hyperdog (AUSTRIA) + Metdog",27
"NEGATIVE GEARS, MORALISER LP Launch w/ RED HELL, PROMAJA, ARMOUR",64
"FLYWIRE + POPE DINGO - Launch + BEC JEAN + FINN KIRBY",53
"Big Moist and the Smoking Durries With Floss and Mer/Lo",55
"Frostbite (Single Launch) w/ Scowls + Social Afterparty",55
"Resident DJ - Saturday",22
"Saturday Night DJ",17
"Yung Maynie - Peace of Mine EP Release Party",44
"DJ",2
"Resident DJ",11
"Goldie Luxe",11
"Honky Tonk",10
"The Amigos",10
"BANANAGUN",9
"Yung Maynie | Peace of Mine EP Release Party",44
"HH & Sax Gawn",13
"Lewy C",6
"Night of Power - Power Ballad Night",35
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"Victor Simonelli - New York's Finest",36
"Cong Josie Moto Zone AFTER PARTY - Upstairs @ The Tote",54
"DJ (Rooftop)",12
"Sun Sound Sunday Sesh",21
"Sunday Arvo at The Tote with The Spit. Support from The Nation Two and Peach Psyche.....Free Entry!!",100
"SESH with Mitch & Xena",22
"Rhys Thompson",13
"SUNDAY SESSIONS WITH greg champion’s montmorency moonlight ramblers",67
"Collard Greens and Gravy",24
"**FREE ENTRY** CRAIG WOODWARD TRIO LIVE AT THE CATFISH",54
"Stingo Blues",12
"Marcel Borrack's Telecaster Diaries",35
"King Canoe",10
"The Civilians",13
"Black Jesus Experience",22
"Domingo Latino - La 45",22
"Arborists & Friends burn down the Tote's upstairs bar",53
"Alice and the Slags",19
"40th PARALLEL + INTERMOOD + PRIVATE MOUNTAIN",44
"Kiwat Kennell",13
"RAH and Tashasan",16
"Lewis Toms",10
"NIEUW MONDAYS",13
"FREE ENTRY MORBID MONDAYS w/ ANNA BORTIONIST + YOUR MOTHER'S DISGUSTING WINDOW",78
"THE OLD BAR GALLERY PRESENTS: SELF LOVE IS UNATTAINABLE - JEMIMA LONGWORTH EXHIBITION w/ CIAN BENNET + INDYANA",110
"Great Gable 'Small Fry' Album Release Party (Free Entry)",56
"Define This",11
"Make It Up Club",15
"Xander",6
"Sonic Boxing",12
"DOLE NIGHT W/ SNAKE POWDER + THE NATION TWO",43
"Kick On Residency w/ Terra Rouge + Pet Therapy + A Stationary Frame",67
"Adrianna Miranda + Harrison Knight",34
"Afrospace Jazz Industry",23
"FREE ENTRY KARAOKE",18
"The Mark Fitzgibbon Trio",24
"Glen Wee",8
"Sonic Boxing",12
"DOLE NIGHT W/ SNAKE POWDER + THE NATION TWO",43
"Kick On Residency w/ Terra Rouge + Pet Therapy + A Stationary Frame",67
"FREE ENTRY KARAOKE",18
"Adrianna Miranda + Harrison Knight",34
"The Mark Fitzgibbon Trio",24
"Afrospace Jazz Industry",23
"Glen Wee",8
"Laneous and Friends",19
"Acclivous Quartet (Front Bar)",29
"Tinkle",6
"Moon Elevator (EP Launch)",25
"Zevon Lee ‘Single Launch’",25
"Genevieve Fullerton",19
"ROBOTS IN LOVE (NZ) + PALLIATIVE + ME IN A DREAM",48
"LOVE POLICE PRESENT - ROSE CITY BAND - Plus Foggy Notion",56
"FRINGE 2024: Headwater",22
"The 1980s w/ Chloe Booth & The Pet Rocks",40
"Matt Steele Quartet",19
"Blow",4
"Lara Villani ‘Fire’ Single Launch with Guard and Mo•Louie",57
"FITZRHYME",9
"THURSDAYS WITH THE RAILWAY GANG",31
"marigolden",10
"James Ellis & the Jealous Guys-  Honkytonk ",43
"Mukul Jiwnani",13
"The Gillmans",12
"Acoustic Act",12
"Sisyphus",8
"Standing Circle (Front Bar)",27
"A Nightmare On Kent Street",26
"Large Mirage With Neon Goblin & The Groundswell",47
"Asanti Beats",12
"KOYO (USA) Live in Australia - Melbourne",40
"Sim Select",10
"THE LONESOMES 'Locket' East Coast Tour: Melbourne",49
"The Mavis's",11
"The Fox Soundtrack: Re_Image",28
"Nick Ward - House With The Blue Door Tour | with special guests Juice Webster + *FRIDAY",87
"3-2-1",5
"EDEN presents BLOOD RAVE II",27
"SCUD - Launch + SPIRIT LEVEL + CLIT SPLIT",41
"Real Good Company 'Covered Volume II'",37
"The Sam Keevers Trio!",21
"Matilda Pearl 'MR COOL GUY' Single Launch",41
"FORTAY, NTER & RIBBY247 - MELBOURNE",35
"Ego Dystonic",12
"Dusk2Dawn and Gift Exchange (SYD)",33
"The Antics EP Launch with Silicone Prairie and The Dilemmas + Rack Off DJs",74
"Great Falls + Sore Eyes",23
"Pretty In Pink + Powerful Owl",29
"Bentham's Head (Album Launch)",29
"BARKAA BIG TIDDA TOUR",21
"OVRNIIGHT (Single Launch) w/ Sidetracked + Arjae",48
"Smoking Vinyl (Front Bar)",25
"Patrick Wilson",14
"The Rookies",11
"Lou Rose",8
"DJ",2
"Lewis Toms",10
"Nomar Jr",8
"Disco Mediterranea",18
"Baby One More Time... 25 Year Anniversary Party - Melbourne",59
"HOWLING MOUNTAIN LIVE AT THE CATFISH",36
"Matinee: The Regnans",20
"Dungeon Ft Ricky Nord & Lex",27
"MUSKA (live) 20th Anniversary",29
"Orstralia Book Launch",21
"The Pinstripes + Tali & The Arms",32
"Acoustic Music",14
"Aeons Abyss",11
"Amaru Tribe",11
"Acopia",6
"The Fox Soundtrack: Blaberunner & Pennoir",41
"Freud & the Family Solution Vinyl Launch With The Spoof Maggots & Mercy Please",78
"Little Murders 'Under the Northern Lights'",42
"SIM - ‘FRACTURES’ EP LAUNCH",27
"Cøsmix Nothing Stays Aus Tour With special guests: Moonwood and Dinosaur Alan",77
"THE MUSIC OF ENNIO MORRICONE & THE SPAGHETTI WEST | Performed by THE COUNTERFEIT ft. Freya Josephine Hollick",108
"THE CURRENCY W/ THE CHILLI PICKERS + JULES SHELDON & THE BOUNDARY RIDERS",72
"BLACK JESUS PRESENTS: A savage night of death/grind carnage!",60
"Curlers + Eileen Grace",22
"The Swells 'Throwaway Spirits' Album Launch",43
"The Craig Fermanis Trio",23
"OSCAR THE WILD + PRETTY BLEAK + EAGLEMONT",41
"Stew Mag x The Pinny Presents… Caustic Grip, Emerald Woods, Budgie and Klunt",76
"3% - ""KILL THE DEAD TOUR"" ALBUM TOUR",36
"Boot Sequence feat. SHIV-R",26
"Alisya Rae 'If He Wanted To' Single Launch (Debut Headline Show)",64
"Namboku Records presents LO-FI IMPROV",37
"Gut Health – Stiletto Album Launch",34
"A Silverchair Night - Neon Ballroom 25 Years",44
"Twitch DJs | Trancemission | 19.10.24 @ Laundry Bar",51
"Honky Tonk",10
"Sophie Olivia",13
"Saturday Night DJ",17
"K HOLE KARAOKE",14
"DJ",2
"Quagmire Book Launch featuring Quest Master (NSW) / Tir (NSW) / Lurid Orb (QLD)",79
"Downsyde - The Kings Are Back! National Tour - Melbourne",56
"Resident DJ - Saturday",22
"Resident DJ",11
"Lewis C",7
"Moonchild Sanelly",17
"Gerry Murphy",12
"Organised Noise",15
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"DJ (Rooftop)",12
"D.C. Maxwell w/ Everyday Believer",33
"The Punters",11
"FREE ENTRY ARVO SHOW w/ THE PECADILLOES + JULES SHELDON",55
"Hannah Kate + Red Herring + The Mirrors",39
"Primer Worldwide pres. Will Hofbauer",36
"SUNDAY SESSIONS WITH MOONEE VALLEY DRIFTERS",43
"RM Murphy + Norwood",19
"Conqueror Root ",15
"JAMES ELLIS & TANYA LEE",23
"Stingo Blues",12
"King Canoe",10
"B2B SophieOlivia Tenderlena",27
"Suzie So Blue",13
"Elizabeth mm with Follow the Robin and Nancy",44
"THE STRAIGHT SHOOTERS: LIVE AT THE GASO",39
"Black Jesus Experience",22
"Bad Decisions Comedy",20
"Domingo Latino - Sazón",22
"Galiba Patina Radio",19
"Sly Greyhounds",14
"Airline Food 'The Deal' National Tour - The Tote Upstairs MELBOURNE/NAARM",73
"LAVA LAKES + PRETTY GOOD SOFA + SEAN SULLY",42
"Astral High - ‘The Way You Make Me Feel’ Single Launch",54
"Boadz",5
"NIEUW MONDAYS",13
"FREE ENTRY MORBID MONDAYS w/ ABSURD COSMOS LATE NITE + PORPOISE TORTURE",71
"Make It Up Club",15
"NOAKESY + KARA SIMS",19
"Mya & Nathan",12
"Hair Metal Party -DJ Thin Lizzy",31
"THE OLD BAR GALLERY PRESENTS ART MAKING WORKSHOP",48
"Big Halloween Blowout - Collarts ""The Portal"" Fundraiser",56
"Skegss - Pacific Highway Music Release Week Shows SOLD OUT",58
"Afro Space Jazz Industry",24
"Kick On Residency w/ Left At The Avenue + Frostbite + The Outfits",65
"Australasian Computer Music Conference - Late Night Concert (Front Bar)",71
"The Mark Fitzgibbon Trio",24
"FREE ENTRY OLD BAR KARAOKE",26
"Woody Samson",12
"THE OLD BAR GALLERY PRESENTS ART MAKING WORKSHOP",48
"Big Halloween Blowout - Collarts ""The Portal"" Fundraiser",56
"Skegss - Pacific Highway Music Release Week Shows SOLD OUT",58
"Kick On Residency w/ Left At The Avenue + Frostbite + The Outfits",65
"The Mark Fitzgibbon Trio",24
"Afro Space Jazz Industry",24
"Australasian Computer Music Conference - Late Night Concert (Front Bar)",71
"FREE ENTRY OLD BAR KARAOKE",26
"Woody Samson",12
"Blood Harvest at Nighthawks",27
"Steamboat Whistlers (Front Bar)",31
"Tinkle",6
"The King's Poet",15
"Leopard Print Aunt",18
"""The Ghost Train"" presented by TITRATION and friends",52
"Kieran Wallace & The Calli Boys",31
"Achey Peace Live at The Tote!… plus Spial & The Gurr",52
"JACK CANNON + GROUP A + GROUP B",31
"Blow",4
"Australasian Computer Music Conference - Late Night Concert",59
"Laneous and Friends",19
"Monty Schnier Sextet",20
"THURSDAYS WITH THE RAILWAY GANG",31
"Halo of Smoke - Enter the Void with Kimboclat",45
"King Arthur: Honkytonk Heartache",32
"Jack Milligan",13
"W.O.M.B.A.T & 6v6s",18
"Standing Circle",15
"Acoustic Act",12
"The Four Scoops (Front Bar)",27
"Large Mirage With Dopplerhaus & Echo Social Club",48
"Noah Dillon – Soft Tour",23
"ROWDY'S RAGER: ANNIHILATION TIME (USA) & FRIENDS",48
"Asanti Beats",12
"Luke Columbo",12
"3-2-1",5
"The Opals - Childhood Cancer Fundraiser Show",44
"Lucky Punks (Singles Launch)",28
"Psycho Sequinz",14
"LUCY WILSON + JEN BUXTON + BEC STEVENS",38
"The Eugene Ball Standards Quartet!",34
"GANGSING",8
"Tallulah Grace + Angela Lane",28
"Carpal Tunnel",13
"Umlaut with Andy Burns and Spürts",33
"Day One",7
"A Disco Fiasco w/ Cinco Savage",30
"Vogil Bonze (JPN) + Remit",25
"The Dark Eighties Cult 80s Hits Dance Party present HALLOWEEN at The Fitzroy Pinnacle",85
"Smoking Vinyl (Front Bar)",25
"Cap Carter",10
"Sheer Chance w/ Pepper La Floyd + Flower Field Folly",52
"Dean Chapman",12
"FADS: Queer Rave",16
"FASCINATION80s - Synthpop/NewWave/Alternative",45
"DJ",2
"Hell Yeah Chicago with Tong",27
"The Rookies",11
"Teenage Dream 2010’s Pop Party! ",32
"Tejo D'Cruz",11
"CLASSIX - Fridays",17
"FRESCO :: Lixxtrado, Amin Payne, Daphne",39
"Paul Sedrak",11
"Interval Fridays",16
"MILLY STRANGE & ADORED",22
"SADDLE UP! Country Night",24
"Stuckey",7
"KEN SHING 'HESITATIONS' LAUNCH LIVE @ THE CATFISH",49
"Soul Lounge",11
"The Evelyn Market",17
"Matinee: The Connection Revue",29
"Lex Monfreaq",12
"Go Go Toboggan and Idle Flowers",31
"Big Farmer farewell & 'Tally Ho' single launch + Gavin!",55
"Glamorama Saturday XXL",22
"THE OLD BAR FEVER WEEKENDER DAY 1",33
"Sweetie & Friends",17
"Dark Glove",10
"Hallo-WEENED 2024",17
"Cookin' On 3 Burners & The Punters",34
"Wasted Years + Big Pants + TILE + Elkie Kershaw - Almost Halloween! (UPSTAIRS)",78
"The Casanovas w/ special guests The Raging Hormones",51
"VOXNEON",7
"PHOENIX STREET - THE HILL SINGLE LAUNCH w/ Toadstool, Goodwin & Erica Avenue",76
"All Hope Remains 'Find my Way' Album launch",43
"Songs The Detroit Cobras Taught Us",34
"Julien Wilson's ""One Flight Up"" Quartet",39
"Frenzal Rhomb ('A Man's Not A Camel' 25th Anniversary Tour)",59
"Semantics (Album Tour)",22
"MAMMON'S THRONE & RELIGIOUS OBSERVANCE JAPAN TOUR SEND OFF",58
"Another Rotting Corpse  LP launch with Mongrel and Crushed Lavender",67
"Resident DJ - Saturday",22
"Saturday Night DJ",17
"SATURDAY NIGHT PARTY AT YAH’S (till 5AM)",40
"DJ",2
"Djboyoliver",11
"Hissuae & Guests Live at Sugar Glider",37
"SLOW GRIND FEVER #106 - EXTRA SPOOKY EDITION! (*9pm, *CASH ONLY*)",65
"DJ NOIZ (THE REMIX KING) | Live in Melbourne",44
"Lewis C",7
"Gerry Murphy",12
"HOUSE OF CHEESE",15
"Taking Back Saturday: Halloween - Melbourne",43
"Cookin' On 3 Burners",20
"Music For Ears",14
"Ones",4
"DJ (Rooftop)",12
"The Masons 'There Goes the Train' Single Launch",47
"Daggy Mamas Disco 2.0",21
"VOGLI BONZE (Jpn/ from BUDDHADATTA) Free show, THE TOTE Front Bar, Sun 27th October w/ COLD REGARDS",99
"'TINYFEST: HALLOWEEN' ft. Sheep",31
"OLD BAR FEVER WEEKENDER DAY 2:  DOLLS + BAREFOOT BOWLS CLUB + CARPAL TUNNEL + GOLD COAST LEATHERS + CLIT SPLIT",110
"The Punters",11
"SESH with Mitch & Xena",22
"sunday sessions with Mike Rudd & George Butrumlis",49
"TIN STARS",9
"**FREE ENTRY** QUEENS OF THE WEST LIVE AT THE CATFISH",53
"Jules and The Redeemers ",24
"Amarillo + Acid Arrow",21
"CLUB CUPID Pres. HEAVEN & HELL. (Feat. Haus of Ralph, House Mum, Mon Franco, Final Girl & Robert Baxter)",104
"Stingo Blues",12
